_id,having_IP_Address,URL_Length,Shortining_Service,having_At_Symbol,double_slash_redirecting,Prefix_Suffix,having_Sub_Domain,SSLfinal_State,Domain_registeration_length,Favicon,port,HTTPS_token,Request_URL,URL_of_Anchor,Links_in_tags,SFH,Submitting_to_email,Abnormal_URL,Redirect,on_mouseover,RightClick,popUpWidnow,Iframe,age_of_domain,DNSRecord,web_traffic,Page_Rank,Google_Index,Links_pointing_to_page,Statistical_report,Result
67a3af131d725d1fee9f7101,1,-1,1,1,1,-1,1,1,-1,-1,1,1,1,0,-1,-1,1,1,0,-1,1,-1,1,1,-1,1,1,1,0,1,1
67a3af131d725d1fee9f7103,-1,-1,-1,1,-1,-1,0,0,-1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,0,1,-1
67a3af131d725d1fee9f7112,1,-1,1,1,1,-1,0,-1,1,1,1,1,1,0,-1,-1,1,1,0,1,1,1,1,-1,1,1,-1,1,1,1,-1
67a3af131d725d1fee9f7115,1,-1,1,1,1,-1,-1,1,-1,1,1,1,1,0,0,-1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
67a3af131d725d1fee9f7118,1,-1,1,1,1,-1,-1,1,-1,1,1,1,1,0,-1,-1,1,1,0,1,1,1,1,-1,1,0,-1,1,0,1,-1
67a3af131d725d1fee9f7148,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,0,-1,1,1,0,1,1,1,1,1,1,1,-1,1,0,1,1
67a3af131d725d1fee9f714c,1,-1,1,1,1,-1,-1,1,1,1,1,1,-1,0,0,-1,1,1,0,1,1,1,1,-1,1,-1,-1,1,0,1,1
67a3af131d725d1fee9f7152,1,-1,1,1,1,-1,0,-1,1,-1,1,1,-1,-1,0,-1,1,-1,0,1,1,-1,1,-1,-1,0,-1,1,1,-1,-1
67a3af131d725d1fee9f7167,1,-1,1,1,1,-1,0,-1,1,1,1,1,-1,0,-1,-1,1,1,0,1,1,1,1,1,-1,1,-1,1,1,1,1
67a3af131d725d1fee9f7174,1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,-1,-1,1,1,0,1,1,1,1,1,-1,0,1,1,1,1,1
67a3af131d725d1fee9f717f,1,-1,1,-1,1,-1,0,0,1,1,1,1,-1,-1,0,-1,1,1,0,1,1,1,1,1,1,-1,-1,1,1,1,-1
67a3af131d725d1fee9f7190,1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,1,0,1,1,1,1,-1,-1,-1,-1,1,0,1,-1
67a3af131d725d1fee9f71a7,1,1,1,1,1,-1,0,0,1,1,1,1,-1,-1,0,1,1,1,0,1,1,1,1,1,-1,-1,-1,1,0,1,-1
67a3af131d725d1fee9f71b9,1,-1,1,1,1,-1,0,1,1,1,1,1,-1,0,1,-1,1,1,0,1,1,1,1,-1,-1,1,-1,1,1,1,1
67a3af131d725d1fee9f71fc,1,-1,1,1,1,-1,-1,1,-1,1,1,1,1,1,0,-1,1,1,0,1,1,1,1,1,-1,-1,-1,1,1,1,1
67a3af131d725d1fee9f720d,1,-1,1,1,1,-1,1,1,1,-1,1,1,-1,0,1,-1,1,1,0,1,1,-1,1,1,-1,1,-1,1,1,1,1
67a3af131d725d1fee9f7210,1,-1,1,1,1,-1,1,1,-1,1,1,1,1,0,0,-1,1,1,0,1,1,1,1,1,1,1,-1,1,0,1,1
67a3af131d725d1fee9f70b3,1,-1,1,1,1,1,-1,1,-1,1,1,1,1,0,0,-1,1,1,0,1,1,1,1,-1,-1,1,-1,1,-1,1,1
67a3af131d725d1fee9f70c6,1,-1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,0,1,1,1,1,1,-1,-1,-1,1,1,1,-1
67a3af131d725d1fee9f70cb,1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,0,-1,-1,-1,1,0,1,1,1,1,1,-1,1,-1,1,-1,1,-1
67a3af131d725d1fee9f70cf,1,-1,1,1,1,-1,1,1,-1,1,1,-1,-1,1,1,-1,1,1,0,1,1,1,1,1,-1,1,-1,1,0,1,1
67a3af131d725d1fee9f70e2,1,-1,1,1,-1,-1,-1,1,-1,1,1,1,-1,0,-1,-1,1,1,1,1,1,1,1,-1,-1,1,-1,1,0,1,-1
67a3af131d725d1fee9f70eb,1,-1,1,1,1,-1,0,0,1,1,1,1,-1,-1,-1,-1,-1,1,0,1,1,1,1,1,-1,-1,-1,1,1,1,-1
67a3af131d725d1fee9f70f1,1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,0,1,1,1,0,1,1,1,1,-1,-1,0,-1,1,1,1,-1
67a3af131d725d1fee9f70f5,1,-1,1,1,1,-1,-1,1,-1,1,1,1,1,0,0,-1,-1,1,0,1,1,1,1,1,-1,1,-1,1,-1,1,1
67a3af131d725d1fee9f710c,1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,-1,-1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1
67a3af131d725d1fee9f710e,-1,-1,-1,1,-1,1,-1,1,-1,1,1,-1,-1,0,0,-1,1,-1,0,1,1,1,1,1,-1,1,-1,1,0,-1,1
67a3af131d725d1fee9f710f,1,-1,1,1,1,-1,0,1,1,1,1,-1,-1,0,-1,-1,1,-1,0,1,1,1,1,-1,1,0,-1,1,1,-1,-1
67a3af131d725d1fee9f7114,1,-1,1,1,1,-1,0,1,-1,1,1,1,-1,1,-1,-1,1,1,0,1,1,1,1,-1,1,0,1,1,0,1,1
67a3af131d725d1fee9f7117,-1,-1,-1,1,-1,-1,1,1,-1,1,1,-1,1,0,0,-1,1,-1,0,1,1,1,1,1,-1,1,-1,1,-1,-1,1
67a3af131d725d1fee9f712f,1,-1,1,1,1,-1,1,1,1,1,1,1,-1,0,0,-1,1,1,0,1,1,1,1,1,-1,1,-1,1,0,1,1
67a3af131d725d1fee9f7155,1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,1,0,1,1,1,1,-1,1,-1,-1,1,0,1,-1
67a3af131d725d1fee9f7172,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,0,-1,-1,-1,1,0,1,1,-1,1,1,1,1,-1,1,0,1,1
67a3af131d725d1fee9f717a,1,-1,1,1,1,-1,0,-1,-1,1,1,1,-1,-1,0,-1,1,1,0,1,1,-1,1,-1,1,0,-1,1,1,1,-1
67a3af131d725d1fee9f717b,1,-1,1,1,1,-1,1,1,1,1,1,1,1,0,0,-1,1,1,0,1,1,1,1,1,1,0,-1,1,1,1,1
67a3af131d725d1fee9f7181,1,-1,1,1,1,-1,1,1,-1,1,1,1,1,0,1,-1,1,1,0,1,1,1,1,1,1,1,-1,1,0,1,1
67a3af131d725d1fee9f7189,1,1,1,1,1,-1,-1,1,-1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,-1,1,1,1,1
67a3af131d725d1fee9f719a,1,-1,1,1,1,-1,-1,1,1,1,1,1,-1,0,0,-1,1,1,0,1,1,1,1,-1,1,1,-1,-1,0,1,1
67a3af131d725d1fee9f71aa,1,1,1,-1,1,-1,-1,1,-1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,-1,1,1,-1,1,0,1,1
67a3af131d725d1fee9f71b0,1,-1,1,1,1,-1,1,-1,1,1,1,1,-1,-1,-1,-1,1,1,0,1,1,1,1,-1,-1,-1,-1,-1,1,1,-1
67a3af131d725d1fee9f71b1,1,-1,1,1,1,-1,1,0,-1,1,1,1,1,0,-1,-1,1,1,0,1,1,1,1,1,1,1,-1,1,0,1,1
67a3af131d725d1fee9f71b5,1,-1,1,1,1,-1,-1,1,-1,-1,1,1,1,0,0,-1,1,1,0,1,1,-1,1,1,1,0,-1,1,0,1,1
67a3af131d725d1fee9f71ba,1,1,1,1,1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
67a3af131d725d1fee9f71d2,1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,0,-1,1,1,0,1,1,1,1,-1,-1,-1,-1,1,0,1,-1
67a3af131d725d1fee9f71e2,-1,-1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,1,1,-1,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,-1,1
67a3af131d725d1fee9f720c,1,-1,1,1,1,-1,0,1,-1,1,1,1,1,0,-1,-1,1,1,0,1,1,1,1,1,-1,1,-1,1,1,1,1
67a3af131d725d1fee9f706c,1,1,-1,1,1,-1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,0,1,1,1,1,-1,-1,-1,-1,1,0,-1,-1
67a3af131d725d1fee9f707b,1,-1,1,1,1,-1,0,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,0,-1,1,-1,-1,-1
67a3af131d725d1fee9f707c,1,-1,-1,1,1,1,-1,1,1,1,1,1,-1,1,0,-1,-1,-1,0,1,1,1,1,1,-1,0,-1,1,0,-1,1
67a3af131d725d1fee9f709f,1,1,1,1,1,1,0,1,-1,1,1,1,1,0,0,1,-1,-1,0,1,1,1,1,-1,1,0,-1,1,0,-1,1
67a3af131d725d1fee9f70aa,1,-1,1,1,-1,1,-1,1,-1,1,1,1,1,1,0,-1,1,1,0,1,1,1,1,1,1,1,-1,1,0,1,1
67a3af131d725d1fee9f70ab,1,-1,1,1,-1,-1,0,0,-1,1,1,-1,-1,-1,1,-1,1,1,0,1,1,1,1,1,1,-1,-1,1,0,1,-1
67a3af131d725d1fee9f70d2,1,-1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,-1,1,1,0,1,1,1,1,1,1,1,-1,1,-1,1,1
67a3af131d725d1fee9f70d5,-1,1,-1,1,-1,-1,1,-1,-1,1,1,-1,1,-1,1,1,1,-1,1,-1,1,-1,1,1,1,1,-1,1,0,-1,-1
67a3af131d725d1fee9f70ec,1,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,0,-1,-1,1,1,1,1,1,1,1,-1,-1,1,-1,1,0,1,-1
67a3af131d725d1fee9f70f3,1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,0,-1,-1,1,0,1,1,1,1,-1,-1,1,-1,1,-1,1,-1
67a3af131d725d1fee9f710d,1,-1,1,1,1,-1,-1,1,1,1,1,1,-1,0,-1,-1,1,1,0,1,1,1,1,1,-1,1,-1,1,1,1,1
67a3af131d725d1fee9f7124,-1,-1,-1,1,-1,-1,0,-1,-1,1,1,-1,1,0,0,-1,1,-1,0,1,1,1,1,1,-1,1,-1,1,1,-1,1
67a3af131d725d1fee9f712b,1,-1,1,1,1,1,0,1,1,1,1,1,-1,0,0,-1,1,1,0,1,1,1,1,-1,1,1,-1,1,0,1,1
67a3af131d725d1fee9f713d,1,-1,1,1,1,-1,0,-1,1,1,1,1,-1,0,-1,-1,1,1,0,1,1,1,1,-1,-1,1,-1,1,0,1,-1
67a3af131d725d1fee9f713f,1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,0,-1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
67a3af131d725d1fee9f716e,-1,1,-1,1,-1,1,0,1,-1,1,1,-1,1,0,-1,1,1,-1,1,1,1,1,1,-1,-1,1,-1,1,1,-1,1
67a3af131d725d1fee9f7175,1,-1,1,1,1,-1,1,1,-1,-1,-1,1,-1,0,1,-1,-1,1,0,1,1,-1,1,1,-1,1,1,1,1,1,1
67a3af131d725d1fee9f7179,1,-1,1,1,1,-1,1,1,1,-1,1,1,-1,0,0,-1,1,1,0,1,1,-1,1,1,-1,0,1,1,1,1,1
67a3af131d725d1fee9f71b3,1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,0,0,-1,1,1,0,1,1,1,1,-1,1,-1,1,1,0,1,-1
67a3af131d725d1fee9f71bb,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,0,1,1,-1,1,-1,-1,-1,-1,1,0,1,-1
67a3af131d725d1fee9f71c0,1,-1,1,1,1,-1,-1,1,-1,1,1,1,1,1,-1,-1,1,1,0,1,1,1,1,1,-1,1,-1,1,1,1,1
67a3af131d725d1fee9f71c3,1,-1,1,1,1,-1,-1,1,-1,1,1,1,1,1,0,-1,1,1,0,1,1,1,1,-1,1,0,-1,1,0,1,1
67a3af131d725d1fee9f71c7,1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,-1,-1,1,1,0,1,1,1,1,1,-1,1,1,1,1,1,1
67a3af131d725d1fee9f71ca,1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,0,1,1,1,1,-1,-1,-1,-1,1,1,1,-1
67a3af131d725d1fee9f71f2,1,-1,1,1,1,-1,-1,1,-1,-1,1,1,1,0,0,-1,1,1,0,1,1,-1,1,-1,-1,0,-1,1,0,1,-1
67a3af131d725d1fee9f7203,1,-1,1,1,1,-1,1,-1,1,1,1,1,-1,0,-1,-1,1,1,0,1,1,1,1,1,1,1,-1,1,0,1,-1
67a3af131d725d1fee9f706e,1,1,-1,1,1,-1,0,-1,1,1,1,1,-1,-1,-1,-1,1,1,0,1,1,1,1,-1,-1,0,-1,1,1,1,-1
67a3af131d725d1fee9f706f,1,1,-1,1,1,1,-1,1,-1,1,1,-1,1,0,1,1,1,1,0,1,1,1,1,1,-1,1,-1,1,-1,1,1
67a3af131d725d1fee9f708b,1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,-1
67a3af131d725d1fee9f7093,1,-1,1,1,1,-1,1,1,-1,1,1,-1,1,0,-1,-1,1,1,0,1,1,1,1,1,1,0,-1,1,0,1,-1
67a3af131d725d1fee9f7097,1,-1,1,1,1,-1,0,-1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,1,-1,1,-1,-1,0,-1,1,0,-1,-1
67a3af131d725d1fee9f709a,1,-1,1,1,1,-1,1,1,-1,-1,-1,1,1,0,1,-1,-1,-1,0,-1,1,-1,1,1,1,1,1,1,0,-1,1
67a3af131d725d1fee9f70b0,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,-1,1,1,0,-1,-1,-1,1,1,1,1,1,-1,-1,1,-1,1,-1,-1,1
67a3af131d725d1fee9f70b5,1,1,1,1,1,-1,1,1,-1,-1,1,-1,1,0,0,1,1,1,0,-1,1,-1,1,1,1,1,-1,1,-1,1,1
67a3af131d725d1fee9f70ff,1,-1,1,1,1,-1,0,1,1,-1,1,1,-1,0,-1,-1,-1,1,0,-1,1,-1,1,-1,-1,1,-1,1,1,1,1
67a3af131d725d1fee9f7133,1,-1,1,1,1,-1,0,1,1,1,1,-1,-1,0,0,-1,1,-1,0,1,1,1,1,-1,1,1,-1,1,0,-1,1
67a3af131d725d1fee9f7138,1,-1,1,-1,1,-1,0,0,-1,1,1,1,-1,-1,1,-1,1,1,0,1,1,1,1,1,1,1,-1,1,0,1,-1
67a3af131d725d1fee9f7153,1,-1,1,1,1,-1,1,1,-1,1,1,1,1,0,0,-1,1,1,0,1,1,1,1,1,-1,0,-1,1,0,1,-1
67a3af131d725d1fee9f7170,-1,1,-1,1,-1,1,1,1,-1,1,1,-1,1,0,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,-1,1
67a3af131d725d1fee9f7184,-1,1,-1,1,-1,1,0,-1,-1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,-1,1,-1,1
67a3af131d725d1fee9f718b,1,-1,1,1,1,-1,-1,1,1,-1,1,1,1,0,-1,-1,1,1,0,1,-1,-1,-1,1,-1,0,-1,1,1,1,1
67a3af131d725d1fee9f718c,1,-1,1,1,1,-1,0,0,1,1,1,1,-1,0,-1,-1,1,1,0,1,1,1,1,1,-1,-1,-1,1,1,1,-1
67a3af131d725d1fee9f7199,1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,0,0,-1,1,1,0,1,1,1,1,1,-1,1,-1,1,1,1,-1
67a3af131d725d1fee9f71a6,1,-1,1,1,1,1,-1,1,1,1,1,1,-1,1,0,-1,-1,1,0,1,1,1,1,1,-1,-1,-1,1,1,1,1
67a3af131d725d1fee9f71d1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,1,1,-1,1,-1,-1,0,-1,1,1,-1,-1
67a3af131d725d1fee9f71e1,1,-1,1,1,1,-1,0,-1,-1,1,1,1,1,0,0,-1,1,1,0,1,1,1,1,-1,1,1,-1,1,0,1,-1
67a3af131d725d1fee9f71e5,1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,-1,1,1,0,1,1,1,1,1,1,1,-1,1,0,1,1
67a3af131d725d1fee9f71fa,1,-1,1,1,1,-1,1,1,-1,1,1,1,1,0,-1,-1,1,1,0,1,1,1,1,1,1,0,-1,1,0,1,1
67a3af131d725d1fee9f71ff,1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,0,-1,-1,1,1,0,1,1,1,1,-1,1,0,-1,1,0,1,-1
67a3af131d725d1fee9f7200,1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,0,1,1,1,1,-1,1,-1,-1,1,0,1,-1
67a3af131d725d1fee9f7213,1,-1,1,-1,1,-1,-1,-1,-1,1,1,1,1,-1,0,-1,1,1,0,1,1,1,1,-1,-1,-1,-1,1,0,1,-1
67a3af131d725d1fee9f706b,1,1,1,1,1,-1,0,1,1,1,1,1,-1,0,0,-1,-1,-1,0,1,1,1,1,-1,1,1,1,1,-1,-1,1
67a3af131d725d1fee9f7080,1,-1,1,1,1,-1,-1,1,-1,-1,1,-1,1,0,-1,-1,-1,-1,0,-1,1,-1,-1,1,-1,1,1,1,0,-1,1
67a3af131d725d1fee9f70a1,1,1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,-1,1,-1,1,0,1,1
67a3af131d725d1fee9f70a6,1,-1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,0,1,1,1,1,-1,-1,-1,-1,1,-1,1,-1
67a3af131d725d1fee9f70a8,-1,-1,-1,1,-1,-1,1,1,-1,1,1,-1,1,0,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,-1,-1,1
67a3af131d725d1fee9f70bb,1,-1,1,1,1,-1,1,-1,-1,1,1,-1,1,0,1,-1,1,1,0,1,1,1,1,1,1,0,-1,1,-1,1,-1
67a3af131d725d1fee9f70e8,1,-1,1,1,-1,-1,1,1,-1,1,1,1,1,1,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1
67a3af131d725d1fee9f70ef,1,-1,1,1,1,-1,1,-1,-1,-1,1,1,1,0,0,-1,1,1,0,-1,1,-1,1,1,-1,0,-1,1,-1,1,-1
67a3af131d725d1fee9f70f7,-1,1,-1,1,-1,-1,-1,1,-1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1
67a3af131d725d1fee9f7100,1,-1,1,1,1,-1,0,1,-1,1,1,1,1,0,-1,-1,1,1,0,1,1,1,1,-1,-1,1,-1,1,-1,1,1
67a3af131d725d1fee9f7102,1,-1,1,1,1,-1,1,1,-1,1,1,-1,1,0,1,-1,1,1,0,1,1,1,1,1,1,0,-1,1,-1,1,1
67a3af131d725d1fee9f7106,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,-1,1,1,1,0,1,1,1,1,-1,-1,1,1,1,-1,1,1
67a3af131d725d1fee9f712a,1,1,1,1,1,-1,0,-1,-1,-1,1,1,1,0,0,1,-1,1,0,-1,1,-1,1,-1,-1,1,-1,1,0,1,1
67a3af131d725d1fee9f7143,1,-1,1,1,1,-1,-1,1,1,-1,1,1,-1,-1,0,-1,1,1,0,1,1,-1,1,-1,-1,-1,-1,1,0,1,-1
67a3af131d725d1fee9f714a,1,-1,1,1,1,-1,-1,1,1,1,1,1,-1,0,-1,-1,1,1,0,1,1,1,1,1,1,1,-1,1,0,1,1
67a3af131d725d1fee9f714f,-1,-1,-1,1,-1,1,1,1,1,1,1,-1,-1,0,0,-1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1
67a3af131d725d1fee9f7158,-1,1,-1,1,-1,-1,-1,1,-1,1,1,-1,1,0,-1,1,1,1,1,1,1,1,1,-1,-1,0,-1,1,1,1,-1
67a3af131d725d1fee9f7159,1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,0,-1,-1,1,1,0,1,1,1,1,-1,1,0,-1,-1,0,1,-1
67a3af131d725d1fee9f715c,-1,-1,-1,1,-1,-1,0,-1,-1,1,1,-1,1,-1,1,-1,1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1
67a3af131d725d1fee9f715f,1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,0,0,-1,1,1,0,1,1,1,1,-1,1,1,-1,-1,0,1,-1
67a3af131d725d1fee9f7168,1,-1,1,1,1,-1,-1,1,1,1,1,-1,-1,0,1,-1,-1,1,0,1,1,1,1,1,-1,1,-1,1,0,1,1
67a3af131d725d1fee9f71a5,-1,-1,-1,1,-1,-1,0,1,-1,1,1,-1,1,0,-1,-1,1,-1,1,1,1,1,1,-1,-1,1,-1,1,1,-1,1
67a3af131d725d1fee9f71ae,1,-1,1,-1,1,-1,1,1,-1,1,1,1,1,0,1,-1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
67a3af131d725d1fee9f71bd,1,-1,1,1,1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,0,1,1,-1,1,1,-1,1,-1,1,1,1,1
67a3af131d725d1fee9f71de,1,-1,1,1,1,-1,-1,1,-1,1,1,1,1,1,-1,-1,1,1,0,1,1,1,1,1,-1,1,-1,1,1,1,1
67a3af131d725d1fee9f71fe,1,-1,1,1,1,1,-1,1,1,1,1,1,-1,1,0,-1,1,1,0,1,1,1,1,1,1,1,-1,1,0,1,1
67a3af131d725d1fee9f7201,1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,0,-1,-1,1,1,0,1,1,1,1,-1,1,0,-1,-1,0,1,-1
67a3af131d725d1fee9f7205,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,0,-1,1,1,-1,-1
67a3af131d725d1fee9f7208,1,-1,1,1,1,-1,1,1,-1,1,1,1,1,0,-1,-1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
67a3af131d725d1fee9f7069,1,0,-1,1,1,-1,1,1,-1,1,1,-1,1,0,1,-1,1,1,0,1,1,1,1,1,-1,1,1,1,0,1,1
67a3af131d725d1fee9f7074,1,1,1,1,1,-1,-1,1,-1,1,1,1,1,0,0,-1,-1,-1,0,-1,-1,-1,-1,1,-1,0,-1,1,0,-1,1
67a3af131d725d1fee9f7089,1,-1,1,1,1,1,1,1,-1,1,1,-1,1,1,0,-1,1,1,0,1,1,1,1,1,-1,1,-1,1,0,1,1
67a3af131d725d1fee9f70b1,1,-1,1,1,-1,-1,0,-1,1,1,1,1,-1,-1,0,-1,1,1,0,1,1,1,1,-1,-1,-1,-1,1,0,1,-1
67a3af131d725d1fee9f70fa,1,-1,1,1,1,-1,-1,1,-1,1,1,1,1,-1,0,-1,1,1,0,1,1,1,1,1,1,1,-1,1,-1,1,1
67a3af131d725d1fee9f7120,1,-1,1,1,1,-1,0,0,-1,1,1,1,1,0,-1,-1,1,1,0,1,1,1,1,1,-1,-1,-1,1,1,1,-1
67a3af131d725d1fee9f7125,1,1,1,1,1,-1,0,1,-1,1,1,1,1,0,-1,1,1,1,0,1,1,1,1,-1,-1,1,-1,1,1,1,1
67a3af131d725d1fee9f7128,1,-1,1,1,1,1,1,1,-1,1,1,1,1,0,0,-1,-1,1,0,1,1,1,1,1,-1,1,-1,1,0,1,1
67a3af131d725d1fee9f712e,-1,1,-1,1,-1,-1,0,-1,-1,-1,1,-1,1,-1,1,1,1,-1,0,-1,1,-1,1,-1,-1,1,-1,1,1,-1,-1
67a3af131d725d1fee9f7150,1,-1,1,-1,1,-1,0,0,-1,1,1,-1,-1,-1,0,-1,1,1,0,1,1,1,1,1,-1,-1,-1,1,1,1,-1
67a3af131d725d1fee9f715a,1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,0,0,-1,1,1,0,1,1,1,1,-1,1,1,-1,1,0,1,-1
67a3af131d725d1fee9f7182,1,-1,1,1,1,-1,0,-1,-1,-1,1,1,1,-1,1,-1,1,1,0,1,1,-1,1,-1,-1,-1,-1,1,0,1,-1
67a3af131d725d1fee9f719c,1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,0,-1,1,1,0,1,1,1,1,-1,1,0,-1,1,0,1,-1
67a3af131d725d1fee9f71b8,1,-1,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,-1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1
67a3af131d725d1fee9f71c8,1,-1,1,1,1,-1,-1,1,-1,-1,-1,1,-1,0,0,-1,-1,1,0,1,1,-1,1,1,-1,1,-1,1,1,1,1
67a3af131d725d1fee9f71ea,1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,0,-1,1,1,0,1,1,1,1,-1,-1,0,-1,1,0,1,-1
67a3af131d725d1fee9f71f3,1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,-1,1,1,0,1,1,1,1,1,-1,1,-1,1,0,1,1
